area,name,abbrev,year,alldeaths_inpatient_age75,estimated_potential,eligible,donors,organs,potential_pct,eligible_per_100potential,donors_per_100potential,organs_per_100potential,tx_per_100potential,organ_potential,organ_share,conversion_rate,collabrate,alldonors,allorgans,alltx,dcdorgans,dbdorgans,dbddonors,dcddonors,dbddonor_pct,dcddonor_pct,dbdorgan_pct,dcdorgan_pct,dbdtx,dcdtx,dbdtx_pct,dcdtx_pct,seq
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,1999,9787,570,,85,292,6,,15,51,47,1600,18,,,85,292,85,2,290,84,1,99,1,99,1,84,1,99,1,1
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2000,9878,535,,126,476,5,,24,89,77,1501,32,,,126,476,126,4,472,124,2,98,2,99,1,124,2,98,2,2
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2001,9871,542,,120,401,5,,22,74,60,1514,26,,,120,401,120,4,397,118,2,98,2,99,1,118,2,98,2,3
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2002,9655,561,,100,349,6,,18,62,55,1566,22,,,100,349,100,17,332,92,8,92,8,95,5,92,8,92,8,4
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2003,9654,525,,89,355,5,,17,68,62,1471,24,,,89,355,89,0,355,89,0,100,0,100,0,89,0,100,0,5
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2004,9513,534,,80,275,6,,15,51,43,1491,18,,,80,275,80,8,267,77,3,96,4,97,3,77,3,96,4,6
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2005,9641,600,,101,318,6,,17,53,48,1660,19,,,101,318,101,7,311,98,3,97,3,98,2,98,3,97,3,7
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2006,9417,557,,119,434,6,,21,78,68,1541,28,,,119,434,119,13,421,114,5,96,4,97,3,114,5,96,4,8
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2007,9488,575,,155,480,6,,27,83,69,1587,30,,,155,480,155,24,456,143,12,92,8,95,5,143,12,92,8,9
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2008,9620,574,120,131,445,6,21,23,77,64,1589,28,,,131,445,131,20,425,123,8,94,6,96,4,123,8,94,6,10
